分类: 💰央视付费频道, 名称: 第一剧场, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 94 ms, 最高速率: 5.40 M/s, 平均速率: 3.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 怀旧剧场, 有效: 3, IPv4: 5, IPv6: 0, 最小延迟: 995 ms, 最高速率: 4.40 M/s, 平均速率: 3.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 1078 ms, 最高速率: 1.75 M/s, 平均速率: 1.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 文化精品, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 757 ms, 最高速率: 9.37 M/s, 平均速率: 3.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 世界地理, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 946 ms, 最高速率: 5.18 M/s, 平均速率: 3.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 3721 ms, 最高速率: 2.59 M/s, 平均速率: 2.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费频道, 名称: 风云足球, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 696 ms, 最高速率: 7.01 M/s, 平均速率: 5.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 女性时尚, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 648 ms, 最高速率: 5.93 M/s, 平均速率: 5.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 52 ms, 最高速率: 117.01 M/s, 平均速率: 53.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 电视指南, 有效: 3, IPv4: 4, IPv6: 0, 最小延迟: 1079 ms, 最高速率: 1.56 M/s, 平均速率: 1.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 4, IPv4: 4, IPv6: 1, 最小延迟: 66 ms, 最高速率: 32.19 M/s, 平均速率: 8.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 香港卫视, 有效: 1, IPv4: 1, IPv6: 1, 最小延迟: 10336 ms, 最高速率: 0.32 M/s, 平均速率: 0.32 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
